,Date,P_t,p_t,D_t,d_t,Rf_t,rf_t,r_t+1,rx_t+1,Δd_t+1,dp_t,rx_t+1_fitted,Δd_t+1_fitted,dp_t_fitted,D_t_PVM,P_t_PVM,Mispricing Actual-PVM,Mispricing Ratio PVM,Nature
96,2011-02-01,15.99311391478639,2.772158249273737,0.22552369472163789,-1.4893300491886394,0.16,-1.8325814637483102,0.006606696277226017,2.665866733210004,-0.017410962305564937,-4.2614882984623765,2.138009438777254,0.01499948953580943,-4.247339617162699,0.04208343774797965,2.94243832188188,13.05067559290451,4.435326815808243,In-Sample Training
97,2011-03-01,15.8790746186586,2.765002180736811,0.221631095456932,-1.5067410114942044,0.07,-2.659260036932778,0.04319979623434919,3.549757693554331,0.04850399230296465,-4.271743192231015,2.3863463389076878,0.02770271937675417,-4.286984555580919,0.043265561840447844,3.147430030793788,12.73164458786481,4.045092174663488,In-Sample Training
98,2011-04-01,16.340671072017493,2.7936571578674534,0.232646063944327,-1.4582370191912397,0.03,-3.506557897319982,0.035228184334909,3.947251189763055,0.029186582082678436,-4.251894177058693,3.21121166578859,0.012140282614284126,-4.230069650387843,0.043794019309561893,3.009613406162164,13.33105766585533,4.429491720949964,In-Sample Training
99,2011-05-01,16.68204255799661,2.8143328449489204,0.2395362690388648,-1.4290504371085613,0.02,-3.912023005428146,-0.023497715889182598,3.195378108979018,0.007852275453052338,-4.243383282057482,3.741639971423689,0.018539223764603707,-4.239773885966026,0.04461349922250306,3.0958270549530305,13.58621550304358,4.388557649338622,In-Sample Training
100,2011-06-01,16.06216854891669,2.7764667273556336,0.24142457786239419,-1.421198161655509,0.04,-3.2188758248682006,0.033011616379450576,4.638181802367542,0.0025963042141297077,-4.1976648890111425,3.383304358954213,0.015682029606465475,-4.269242103836159,0.045318644038031174,3.2388079351043744,12.823360613812318,3.9592840547363517,In-Sample Training
101,2011-07-01,16.354793828794683,2.7945210549062858,0.2420522039128144,-1.4186018574413792,0.01,-4.605170185988091,0.03485812592729377,2.0750789544538484,0.05686656187228212,-4.213122912347665,4.098409915065391,0.008581313486272335,-4.194188044740207,0.04570921092098292,3.0305150701734465,13.324278758621237,4.396704339060965,In-Sample Training
102,2011-08-01,16.673731729693458,2.8138345307198187,0.2562157808560917,-1.3617352955690971,0.13,-2.0402208285265546,-0.032880061142283395,3.8791429442858627,-0.008350926718117435,-4.175569826288916,2.867182166696267,0.0025542936695720497,-4.217074776118816,0.045826114909077044,3.1086035942038257,13.565128135489632,4.363736875548433,In-Sample Training
103,2011-09-01,15.892237272277912,2.76583076813777,0.2540850508140749,-1.3700862222872146,0.02,-3.912023005428146,-0.04229273314193728,3.869730272286209,-0.06985285387058426,-4.135916990424985,3.235986825948216,0.01891295428215578,-4.17719962217552,0.04670107003766727,3.0441186593152323,12.84811861296268,4.220636594978474,In-Sample Training
104,2011-10-01,15.010332275604627,2.708738782349361,0.2369421936712178,-1.4399390761577988,0.02,-3.912023005428146,0.08714660959931346,4.692316795587405,0.07809076977074225,-4.14867785850716,3.8242274556316356,0.00606257741478311,-4.226255608921072,0.04698505887244179,3.21661635226715,11.793715923337476,3.6664975339769628,In-Sample Training
105,2011-11-01,16.10229869102355,2.7789620376388893,0.25618682733718423,-1.3618483063870566,0.01,-4.605170185988091,0.03259970516206546,3.9446227105902114,-0.011959672783456998,-4.140810344025946,4.336940225875966,-0.009863255023341844,-4.079833534400937,0.0465239112015473,2.751220565568742,13.351078125454807,4.852783630851794,In-Sample Training
106,2011-12-01,16.37839724737055,2.7959632254916054,0.2531411655724783,-1.3738079791705136,0.02,-3.912023005428146,0.027810012143437163,4.632980198131528,0.008012738712775302,-4.169771204662119,4.08824809715069,0.018466118749613458,-4.190205584144293,0.04739100859248596,3.1295299693154606,13.24886727805509,4.233500687949343,In-Sample Training
107,2012-01-01,16.58192464324231,2.8083132251922227,0.2551776676733187,-1.3657952404577383,0.01,-4.605170185988091,0.09034865299470021,3.086080926548691,0.05842001227550542,-4.174108465649961,4.309715571601464,0.011703737838963946,-4.175505653629374,0.047948918983035445,3.120167327685525,13.461757315556785,4.314434420266312,In-Sample Training
