Date,NDX_actual,NDX_fair_PVM,NDX_mispricing,NDX_mispricing_pct,P_t,P_t_PVM,sample
2005-02-01,1511.02001953125,1945.1974428360888,-434.17742330483884,-0.22320480879915727,7.280669158336337,8.970763289230424,train
2005-03-01,1482.530029296875,1920.0371780458458,-437.50714874897085,-0.22786389438263488,7.321069883890919,8.604856475374934,train
2005-04-01,1420.7900390625,1922.0896943945822,-501.29965533208224,-0.26080970976226014,6.997676876882294,8.634706308984146,train
2005-05-01,1542.6300048828125,1911.6092024189297,-368.9791975361172,-0.19302020364267702,7.1380117219097965,8.482288063054707,train
2005-06-01,1493.52001953125,1910.9106609613018,-417.3906414300518,-0.21842498969579216,7.733808753593284,8.472129144568056,train
2005-07-01,1605.1400146484375,1953.0156915176115,-347.87567686917396,-0.17812231534036138,7.526986030086936,9.084464416338404,train
2005-08-01,1581.7099609375,1945.2349723385098,-363.5250114010098,-0.18687974284360598,8.020527352426326,8.971309082399571,train
2005-09-01,1601.6600341796875,1979.0415066386288,-377.3814724589413,-0.1906890134406114,8.028032502914707,9.462958965911527,train
2005-10-01,1579.1800537109375,1977.0617198150853,-397.8816661041478,-0.20124898586441786,8.067790359853445,9.434166840917802,train
2005-11-01,1672.56005859375,1455.2792951123556,217.2807634813944,0.14930519812323673,8.287684111456786,1.8458625786030498,train
2005-12-01,1645.199951171875,1899.2419725409009,-254.04202136902586,-0.13375969204658833,9.059324874104384,8.302430906597317,train
2006-01-01,1710.75,1947.577528084886,-236.8275280848859,-0.12160107860649116,8.771851602793053,9.005376971453257,train
2006-02-01,1670.5699462890625,1957.3344166790207,-286.7644703899582,-0.14650765242073815,9.076563450805216,9.147271822258139,train
2006-03-01,1703.6600341796875,1955.7084318141547,-252.04839763446716,-0.12887831004576789,8.921491874718427,9.123625054378687,train
2006-04-01,1700.7099609375,1937.6358362317335,-236.9258752942335,-0.12227575009915237,8.995511093247337,8.860794518897718,train
2006-05-01,1579.5799560546875,1963.0800637955358,-383.5001077408483,-0.19535632540598802,8.810198164858049,9.23083101559212,train
2006-06-01,1575.22998046875,1935.2482871557672,-360.01830668701723,-0.18603210196668662,8.543002846869914,8.82607228991509,train
2006-07-01,1509.4300537109375,1923.8409216285736,-414.4108679176361,-0.21540807415970142,8.633154863546437,8.66017448202878,train
2006-08-01,1579.72998046875,1924.6913234597682,-344.9613429910182,-0.17922943735774,8.466159770593924,8.672541912464961,train
2006-09-01,1654.1300048828125,1911.8998000452596,-257.76979516244705,-0.13482390403322653,8.908592904957025,8.48651423684305,train
2006-10-01,1732.5400390625,1938.9463546135921,-206.40631555109212,-0.10645282426713987,9.329062756088351,8.879853444135696,train
2006-11-01,1791.25,1972.0418769400721,-180.79187694007214,-0.09167750393850593,9.82561648146351,9.361163049909866,train
2006-12-01,1756.9000244140625,1993.120192487832,-236.2201680737694,-0.11851777377204586,10.011690143464492,9.667705900226462,train
2007-01-01,1792.280029296875,1996.853950634574,-204.57392133769895,-0.1024481140809963,10.002931551835616,9.722006105672282,train
2007-02-01,1761.5999755859375,2015.4994363797082,-253.8994607937707,-0.12597347149341376,10.245766918354924,9.993168207449358,train
2007-03-01,1772.3599853515625,2021.0035184012943,-248.6435330497318,-0.12302973784351456,9.843331784189935,10.073214309209737,train
2007-04-01,1867.75,1999.2699373707492,-131.51993737074918,-0.06578398189876844,9.870802302289158,9.757141904771418,train
2007-05-01,1928.18994140625,1992.2142579605638,-64.02431655431383,-0.03213726450279286,10.921145694784254,9.654530855400909,train
2007-06-01,1934.0999755859373,2069.337166827557,-135.23719124161994,-0.06535290305008545,11.368479681929117,10.77613263877055,train
2007-07-01,1932.06005859375,2095.6374059512664,-163.57734735751637,-0.0780561307471338,11.370321817790009,11.158618148427264,train
2007-08-01,1988.72998046875,2106.58950649904,-117.85952603029,-0.05594802673548005,11.481249644225384,11.317895018121213,train
2007-09-01,2091.110107421875,2107.6963466240773,-16.58623920220225,-0.007869368483163441,11.571344187123184,11.33399184170301,train
2007-10-01,2238.97998046875,2428.55288194103,-189.57290147228014,-0.07806002615053753,12.37279895884024,16.000222245926206,train
2007-11-01,2089.10009765625,2215.2927403577737,-126.19264270152371,-0.05696431916313838,13.549554222490356,12.898770827204997,train
2007-12-01,2084.929931640625,2295.165345792073,-210.2354141514479,-0.09159924557805421,13.124723959072425,14.060361566112283,train
2008-01-01,1841.4200439453125,2262.693084372747,-421.27304042743435,-0.18618213991855537,13.515846448410455,13.588116070538806,train
2008-02-01,1745.27001953125,2291.8210447589518,-546.5510252277018,-0.23847892769707357,11.556711683331542,14.011725252233836,train
2008-03-01,1781.9300537109375,2147.682403166541,-365.7523494556035,-0.17030094809006147,10.754652543697787,11.915510783179826,train
2008-04-01,1917.699951171875,2111.0953078153375,-193.3953566434625,-0.0916090125952661,11.429222641191876,11.383423080614088,train
2008-05-01,2032.5699462890625,2154.244087846504,-121.67414155744154,-0.05648113054777992,12.342699944386023,12.010937645924951,train
2008-06-01,1837.0899658203125,2205.147733588371,-368.0577677680585,-0.1669084398119346,12.410567286134768,12.751231557070845,train
2008-07-01,1849.1500244140625,2194.3820083522846,-345.23198393822213,-0.15732538027754317,11.475900054838853,12.594665151557194,train
2008-08-01,1872.5400390625,2150.836401060549,-278.2963619980492,-0.12938983265339232,10.858394132434007,11.961379510314643,train
