Date,P_t,P_t_PVM,mispricing,mispricing_pct,sample
2003-01-01,4.859929881528207,5.023029986049367,-0.16310010452115975,-0.032470462046641835,train
2003-02-01,4.604349004355173,6.129346856594685,-1.5249978522395118,-0.2488026681992611,train
2003-03-01,4.652612492365825,4.462603985660866,0.1900085067049586,0.042577944920833,train
2003-04-01,4.721962757412532,4.382207499324294,0.33975525808823814,0.07753061856167842,train
2003-05-01,5.108139976538217,4.562707732043621,0.545432244494596,0.11954135055902415,train
2003-06-01,5.3332996587582056,5.003642638627217,0.3296570201309885,0.06588340613817945,train
2003-07-01,5.4674695825493815,5.158326025374558,0.30914355717482334,0.05993098451980372,train
2003-08-01,5.739130961473937,5.275589386725825,0.4635415747481124,0.08786536266724099,train
2003-09-01,5.9056216161815485,5.556934134227569,0.3486874819539798,0.06274817615819162,train
2003-10-01,5.963950645223557,8.524309074312317,-2.56035842908876,-0.3003596428482753,train
2003-11-01,6.0243586397009805,6.086890784046438,-0.0625321443454574,-0.010273248948272973,train
2003-12-01,6.028666238777902,5.311473844032104,0.7171923947457977,0.13502700301379145,train
2004-01-01,6.232481236831762,5.282350422535327,0.9501308142964353,0.1798689481566822,train
2004-02-01,6.297127944879046,4.52693467028161,1.7701932745974363,0.3910357457151721,train
2004-03-01,6.261209416653209,5.48231890175087,0.7788905149023391,0.14207318633974153,train
2004-04-01,6.102398970723934,5.3768033648665945,0.7255956058573396,0.1349492545326405,train
2004-05-01,5.954580561218767,5.42002618319252,0.5345543780262476,0.09862579256238635,train
2004-06-01,6.094438531185586,5.187784334373967,0.9066541968116191,0.17476713339916228,train
2004-07-01,6.346189788343118,5.313543981800552,1.0326458065425657,0.1943421961085645,train
2004-08-01,6.161230268553604,6.532696509061199,-0.371466240507595,-0.05686262020474264,train
2004-09-01,6.372389829563009,5.4642341828515955,0.9081556467114131,0.16619998636981514,train
2004-10-01,6.703946973926958,3.88263271901532,2.821314254911638,0.7266497912857324,train
2004-11-01,7.014507581495501,52.78855621905422,-45.77404863755872,-0.8671206775880036,train
2004-12-01,7.372796208476412,8.340986127528227,-0.9681899190518148,-0.11607619341991748,train
2005-01-01,7.391238035638072,8.70778703813064,-1.3165490024925681,-0.15119214522903635,train
2005-02-01,7.280669158336337,8.970763289230424,-1.6900941308940869,-0.18840025942085414,train
2005-03-01,7.321069883890919,8.604856475374934,-1.2837865914840147,-0.14919326024296964,train
2005-04-01,6.997676876882294,8.634706308984146,-1.6370294321018521,-0.1895871583262274,train
2005-05-01,7.1380117219097965,8.482288063054707,-1.3442763411449103,-0.15848039245448586,train
