Date,P_t,p_t,D_t,d_t,D12_t,d12_t,rf_1m_t,r_1m_t+1,rx_1m_t+1,r_12m_t+12,rf_12m_t+12,rx_12m_t+12,Δd12_t+12,d12p_t
2002-12-01,5.496798090100632,1.7041657572780817,0.0036097205882352,-5.624124909013665,0.03360150420168,-3.3931844451078885,0.0010411245084105101,-0.12307238142989753,-0.12411350593830804,-0.32141039967921553,0.01653850454596874,-0.33794890422518425,0.7362455960614653,-5.09735020238597
2003-01-01,4.859929881528207,1.5810240101392294,0.0003813025210084,-7.87191747950866,0.0336006507352935,-3.3932098450786885,0.0009995003330834232,-0.05011996428619205,-0.051119464619275475,-0.36741196037356244,0.01613066231699277,-0.3835426226905552,0.736635852733166,-4.974233855217918
2003-02-01,4.604349004355173,1.5270012925815681,0.0190041674107142,-3.9630969864606183,0.046342718749999304,-3.071691092083034,0.0009745249962273272,0.011124973295309766,0.010150448299082439,-0.3426532404090011,0.015697844751160702,-0.3583510851601618,0.22545803906002204,-4.598692384664602
2003-03-01,4.652612492365825,1.5374288881491802,0.0032120903361344,-5.740833358718266,0.04683523686974721,-3.061119434796794,0.0010078253067557965,0.014880097849211429,0.013872272542455632,-0.3430180371854673,0.015223435776765855,-0.3582414729622332,0.22800114872241073,-4.598548322945974
2003-04-01,4.721962757412532,1.5522245515954822,0.0003928571428571,-7.84206451635908,0.046006110294117004,-3.0789810588336906,0.0009745249962273272,0.07927524650005957,0.07830072150383224,-0.15531947489292613,0.01470740553593102,-0.17002688042885716,0.24610156083037982,-4.631205610429173
2003-05-01,5.108139976538217,1.6308353411891527,0.0031385833771008,-5.76398373465202,0.046002637605041405,-3.0790565448968428,0.0009079210482536982,0.04382124532817808,0.04291332427992438,-0.0670177006445359,0.014149734422574688,-0.08116743506711058,0.284962367801167,-4.7098918860859955
2003-06-01,5.3332996587582056,1.6739701195689018,0.0035077731092436,-5.652773884658673,0.046635366859243,-3.0653960802267037,0.0009661997453249756,0.02502916359856615,0.024062963853241175,0.026732183076249253,0.013683627076274565,0.013048555999974688,0.2892553532992377,-4.739366199795605
2003-07-01,5.4674695825493815,1.6988159102335816,0.0009780724789915,-6.92992678127716,0.0464984839810917,-3.068335569477469,0.0007413917678582095,0.049302209980714336,0.04856081821285613,0.20417437502270339,0.013001033193115576,0.1911733418295878,0.30896839433427203,-4.767151479711051
2003-08-01,5.739130961473937,1.747307798429191,0.0044322052258403,-5.418858025139838,0.045917961922268206,-3.080898911181657,0.0007580459438933442,0.02916154385360273,0.028403497909709384,0.199559066403964,0.012343414995846572,0.18721565140811744,0.5075707051215237,-4.828206709610848
2003-09-01,5.9056216161815485,1.7759047135723136,0.0032413931197478,-5.731752066359957,0.046239143119747105,-3.0739285859370566,0.0008163333758904332,0.013870921383808032,0.0130545880079176,0.28680360232682806,0.011744084230574657,0.2750595180962534,0.5190979308863986,-4.8498332995093705
2003-10-01,5.963950645223557,1.7857331214194838,0.0239218749999999,-3.732961966684129,0.0691878694852933,-2.6709297281800315,0.000733064575828895,0.01061828587938805,0.009885221303559155,0.16435625164267567,0.011119737173236126,0.15323651446943953,-0.24360443723618275,-4.456662849599516
2003-11-01,6.0243586397009805,1.7958110238683713,0.003223691045168,-5.737228288592242,0.0690437313550412,-2.673015187389295,0.0007996801705642441,0.0014993904876604244,0.0006997103170961802,0.10539073244040897,0.010720136768318183,0.0946705956720908,1.9888353993737558,-4.468826211257666
2003-12-01,6.028666238777902,1.796525798674488,0.0047286611081932,-5.354113180355351,0.0701626718749992,-2.656938849046423,0.0007996801705642441,0.03331622020190009,0.03251654003133584,0.2617793340722066,0.010478692430471918,0.2513006416417347,1.976764647495183,-4.453464647720911
2004-01-01,6.232481236831762,1.829774525874624,0.000406906512605,-7.806927097665693,0.0701882758665958,-2.6565739923455225,0.0007497188905459742,0.011422169954993119,0.010672451064447145,0.32332146831339176,0.01022891098793447,0.31309255732545727,1.9764901249798803,-4.486348518220146
2004-02-01,6.297127944879046,1.8400936476865717,0.0068785198266806,-4.979351791653974,0.05806262828256221,-2.846233053023012,0.0007080825836803268,-0.0050886739925134865,-0.005796756576193813,0.3071078210255685,0.009962468575387469,0.29714535245018103,2.194959816179775,-4.686326700709584
2004-03-01,6.261209416653209,1.8343733640002,0.0039785833771008,-5.52682945844764,0.0588291213235286,-2.833118286074383,0.0008080068078934946,-0.02562640987059552,-0.026434416678489014,0.2666013133057616,0.009762650076525166,0.25683866322923643,2.1837070605769453,-4.667491650074583
2004-04-01,6.102398970723934,1.8086819677565282,0.000406906512605,-7.806927097665693,0.058843170693276506,-2.8328794980033107,0.000791353463901749,-0.0236259435602576,-0.02441729702415935,0.16370012324544442,0.009579478544199589,0.15412064470124484,2.18497433613955,-4.641561465759839
2004-05-01,5.954580561218767,1.7841607656026532,0.0054656713497899,-5.209268319557262,0.0611702586659656,-2.7940941770956758,0.0006914275755191006,0.023990759288913432,0.023299331713394333,0.14386963720617973,0.009362985071464993,0.13450665213471474,2.171013854328163,-4.578254942698329
2004-06-01,6.094438531185586,1.8073766391141806,0.0046159079569327,-5.378246689981057,0.0622783935136547,-2.776140726927466,0.0008080068078934946,0.04081124358519694,0.04000323677730344,0.15965171719281054,0.00920479213403351,0.15044692505877705,2.1542607223094126,-4.583517366041646
2004-07-01,6.346189788343118,1.8478545994807638,0.002031512605042,-6.198974637760271,0.06333183363970521,-2.759367175143197,0.0008413126638987013,-0.026842961383289513,-0.027684274047188213,0.08350654582880668,0.009304713030074001,0.07420183279873267,2.1345441920673665,-4.6072217746239605
